Clusters, Time (sec), Homogeneity Score, Completeness Score, V-Measure Score, Adjusted Random Score, Adjusted Mutual Random Score, Silhouette Score, Accuracy
2, 0.06401467323303223, 0.06459346744397704, 0.0289987868908287, 0.04002750463188658, -0.01226491852443157, 0.0395416817542344, 0.3645311211015678, 0.499
3, 0.06601452827453613, 0.23930945218090646, 0.08047904765253498, 0.12045084057619504, 0.08183675204063588, 0.11972523556982032, 0.4654229595381082, 0.56
4, 0.06501507759094238, 0.30754737296232765, 0.07108671341158293, 0.11548105545187709, 0.04591337751049304, 0.11466477990390075, 0.43977211023028273, 0.068
5, 0.06801581382751465, 0.30754737296232676, 0.06210193704015439, 0.1033373366364087, 0.025014623920181542, 0.10234869023849243, 0.4124825940188625, 0.1255
6, 0.07501697540283203, 0.43923101321772884, 0.08475354835695671, 0.1420896325905123, 0.03542851265737595, 0.1409443770961935, 0.4195036021459423, 0.288
7, 0.07601690292358398, 0.42471695961899114, 0.07100963098505182, 0.12167592034507964, 0.031128567502190868, 0.12043076074160104, 0.3702703299475292, 0.209
8, 0.0890195369720459, 0.4280681628205668, 0.06545888864788085, 0.11355351695677356, 0.026422652766055477, 0.1121959171256458, 0.3866045934060975, 0.129
9, 0.08701825141906738, 0.4378646430060727, 0.06508477569716342, 0.11332480371185846, 0.02741145157024131, 0.11180512541244644, 0.38989101802716236, 0.143
10, 0.0800180435180664, 0.4281033776573866, 0.05988427966552315, 0.10507094599085648, 0.02397643153803598, 0.1034336881553933, 0.3881305271245815, 0.141
2, 2.684605598449707, 0.04577726102909686, 0.04253645398032075, 0.04409739431529209, 0.16092162896969112, 0.04334020170516057, 0.10745633478336536, 0.8585
3, 3.697352409362793, 0.04902244660868574, 0.03812372451619432, 0.04289157459233013, 0.1669780688078607, 0.04149316291846249, 0.027183913290765114, 0.066
4, 8.409848690032959, 0.049027208738390685, 0.03654931016016423, 0.04187855924802789, 0.16755806653381364, 0.03971833818802623, -0.1269313364201221, 0.841
5, 9.663870096206665, 0.04925385872103821, 0.024082352351094526, 0.03234824278566528, 0.10974858885689517, 0.030760704181625242, 0.03345149741286197, 0.0365
6, 10.688145875930786, 0.05878924949842588, 0.018919572899134793, 0.02862654347997961, 0.04470955264222078, 0.02653812189703016, -0.17054616597129646, 0.0295
7, 12.570068120956421, 0.09506514485835005, 0.02328654420678726, 0.03740949902371441, 0.006104615747240907, 0.035819927121862646, -0.004448776993262, 0.225
8, 15.016294479370117, 0.3251349957101125, 0.05919698209294139, 0.100158257082126, 0.055742699113062386, 0.09853520847451656, 0.07784399602173356, 0.0335
9, 18.271178483963013, 0.32014893832953195, 0.057856966004769965, 0.09800294666833373, 0.056054771542609294, 0.09636396058316865, 0.19846335967645026, 0.265
10, 23.029074907302856, 0.09780444152602595, 0.02347040537235092, 0.03785632303054169, 0.030831941414545608, 0.03489319067124976, -0.3274754634183836, 0.263
